"Auction";"From";"To";"Car";"Motorcycle"
;"YORK HAVEN - Pennsylvania - Copart";"New York";$300.00;$250.00
"Dyer Auto Auction";"Dyer Auto Auction - Indiana - Dyer Auto Auction";"Chicago";$100.00;$100.00
"IAAI";"ABILENE - Texas - IAAI";"Houston";$350.00;
;"AKRON-CANTON - Ohio - IAAI";"Chicago";$450.00;$350.00
;"ALBANY - New York - IAAI";"New York";$275.00;$225.00
;"ALBUQUERQUE - New Mexico - IAAI";"Houston";$550.00;$400.00
;"ALTOONA - Pennsylvania - IAAI";"New York";$450.00;$350.00
;"AMARILLO - Texas - IAAI";"Houston";$475.00;
;"ANAHEIM - California - IAAI";"Los Angeles";$150.00;$150.00
;"APPLETON - Wisconsin - IAAI";"Chicago";$275.00;$250.00
;"ASHEVILLE - North Carolina - IAAI";"Norfolk";$350.00;$225.00
;"ASHLAND - Kentucky - IAAI";"Chicago";$450.00;$400.00
;;"Norfolk";$550.00;
;"ATLANTA - Georgia - IAAI";"Savannah";$225.00;$175.00
;"ATLANTA EAST - Georgia - IAAI";"Savannah";$250.00;$175.00
;"ATLANTA NORTH - Georgia - IAAI";"Savannah";$250.00;$175.00
;"ATLANTA SOUTH - Georgia - IAAI";"Savannah";$225.00;$175.00
;"AUSTIN - Texas - IAAI";"Houston";$225.00;
;"AVENEL NEW JERSEY- New Jersey - IAAI";"New York";$150.00;$100.00
;"BALTIMORE - Maryland - IAAI";"Norfolk";$275.00;$225.00
;"BATON ROUGE - Louisiana - IAAI";"Houston";$300.00;
;"BILLINGS - Montana - IAAI";"Seattle";$750.00;
;"BIRMINGHAM - Alabama - IAAI";"Savannah";$350.00;$300.00
;"BOISE - Idaho - IAAI";"Seattle";$450.00;
;"BOSTON - SHIRLEY - Massachusetts - IAAI";"New York";$350.00;$275.00
;"BOWLING GREEN - Kentucky - IAAI";"Chicago";$375.00;$325.00
;;"Norfolk";$550.00;
;"BRIDGEPORT - Pennsylvania - IAAI";"New York";$250.00;$175.00
;"BUCKHANNON - West Virginia - IAAI";"Norfolk";$575.00;$450.00
;"BUFFALO - New York - IAAI";"New York";$450.00;$350.00
;"BURLINGTON - Vermont - IAAI";"New York";$550.00;$450.00
;"CENTRAL NEW JERSEY- New Jersey - IAAI";"New York";$150.00;$100.00
;"CHARLESTON - South Carolina - IAAI";"Savannah";$275.00;$200.00
;"CHARLOTTE - North Carolina - IAAI";"Norfolk";$275.00;$225.00
;"CHATTANOOGA - Tennessee - IAAI";"Savannah";$450.00;$375.00
;"CHICAGO-NORTH - Illinois - IAAI";"Chicago";$100.00;$100.00
;"CHICAGO-SOUTH - Illinois - IAAI";"Chicago";$100.00;$100.00
;"CHICAGO-WEST - Illinois - IAAI";"Chicago";$100.00;$100.00
;"CINCINNATI - Ohio - IAAI";"Chicago";$400.00;$275.00
;"CINCINNATI SOUTH - Ohio - IAAI";"Chicago";$400.00;$275.00
;"CLEARWATER - Florida - IAAI";"Miami";$200.00;$200.00
;"CLEVELAND - Ohio - IAAI";"Chicago";$400.00;$275.00
;"COLTON - California - IAAI";"Los Angeles";$150.00;$150.00
;"COLUMBIA - South Carolina - IAAI";"Savannah";$275.00;$200.00
;"COLUMBUS - Ohio - IAAI";"Chicago";$400.00;$275.00
;"CONCORD - North Carolina - IAAI";"Norfolk";$275.00;
;"CORPUS CHRISTI - Texas - IAAI";"Houston";$275.00;
;"CULPEPER - Virginia - IAAI";"Norfolk";$250.00;$200.00
;"DALLAS - Texas - IAAI";"Houston";$225.00;
;"DAVENPORT - Iowa - IAAI";"Chicago";$250.00;$250.00
;"DAYTON - Ohio - IAAI";"Chicago";$400.00;$275.00
;"DENVER - Colorado - IAAI";"Houston";$550.00;
;"DENVER EAST - Colorado - IAAI";"Houston";$550.00;
;"DES MOINES - Iowa - IAAI";"Chicago";$300.00;$225.00
;"DETROIT - Michigan - IAAI";"Chicago";$325.00;$275.00
;"DOTHAN - Alabama - IAAI";"Savannah";$350.00;$300.00
;"DUNDALK - Maryland - IAAI";"Norfolk";$275.00;
;"EAST BAY - California - IAAI";"Los Angeles";$375.00;$250.00
;"EL PASO - Texas - IAAI";"Houston";$425.00;
;"ERIE - Pennsylvania - IAAI";"New York";$500.00;$425.00
;"EUGENE - Oregon - IAAI";"Seattle";$275.00;
;"FARGO - North Dakota - IAAI";"Chicago";$550.00;$500.00
;"FAYETTEVILLE - Arkansas - IAAI";"Houston";$450.00;
;"FLINT - Michigan - IAAI";"Chicago";$375.00;$275.00
;"FONTANA - California - IAAI";"Los Angeles";$150.00;$150.00
;"FORT MYERS - Florida - IAAI";"Miami";$200.00;
;"FORT PIERCE - Florida - IAAI";"Miami";$180.00;$180.00
;"FREMONT - California - IAAI";"Los Angeles";;$250.00
;"FRESNO - California - IAAI";"Los Angeles";$300.00;$150.00
;"Fredericksburg-South - Virginia - IAAI";"Norfolk";$250.00;
;"GRAND RAPIDS - Michigan - IAAI";"Chicago";$325.00;$250.00
;"GREENSBORO - North Carolina - IAAI";"Norfolk";$275.00;$225.00
;"GREENVILLE - South Carolina - IAAI";"Savannah";$250.00;$225.00
;"GRENADA - Mississippi - IAAI";"Houston";$425.00;
;"GULF COAST - Mississippi - IAAI";"Houston";$450.00;
;"HARTFORD - Connecticut - IAAI";"New York";$250.00;$175.00
;"HARTFORD-SOUTH - Connecticut - IAAI";"New York";$250.00;$175.00
;"HIGH DESERT - California - IAAI";"Los Angeles";$200.00;$200.00
;"HOUSTON - Texas - IAAI";"Houston";$180.00;
;"HOUSTON-NORTH - Texas - IAAI";"Houston";$180.00;
;"HUNTSVILLE - Alabama - IAAI";"Savannah";$350.00;$300.00
;"IAA CAT HOUSTON - Texas - IAAI";"Houston";$200.00;
;"IAA Dallas/Ft Worth - Texas - IAAI";"Houston";$225.00;
